Transaction,Item,date_time,period_day,weekday_weekend,producto
1,Bread,30-10-2016 09:58,morning,weekend,Pan
2,Scandinavian,30-10-2016 10:05,morning,weekend,Pan escandinavo
2,Scandinavian,30-10-2016 10:05,morning,weekend,Pan escandinavo
3,Hot chocolate,30-10-2016 10:07,morning,weekend,Chocolate caliente
3,Jam,30-10-2016 10:07,morning,weekend,Mermelada
3,Cookies,30-10-2016 10:07,morning,weekend,Galletas
4,Muffin,30-10-2016 10:08,morning,weekend,Muffin
5,Coffee,30-10-2016 10:13,morning,weekend,Cafe
5,Pastry,30-10-2016 10:13,morning,weekend,Pastelito
5,Bread,30-10-2016 10:13,morning,weekend,Pan
6,Medialuna,30-10-2016 10:16,morning,weekend,Medialuna
6,Pastry,30-10-2016 10:16,morning,weekend,Pastelito
6,Muffin,30-10-2016 10:16,morning,weekend,Muffin
7,Medialuna,30-10-2016 10:19,morning,weekend,Medialuna
7,Pastry,30-10-2016 10:19,morning,weekend,Pastelito
7,Coffee,30-10-2016 10:19,morning,weekend,Cafe
7,Tea,30-10-2016 10:19,morning,weekend,Te
8,Pastry,30-10-2016 10:20,morning,weekend,Pastelito
8,Bread,30-10-2016 10:20,morning,weekend,Pan
9,Bread,30-10-2016 10:21,morning,weekend,Pan
9,Muffin,30-10-2016 10:21,morning,weekend,Muffin
10,Scandinavian,30-10-2016 10:25,morning,weekend,Pan escandinavo
10,Medialuna,30-10-2016 10:25,morning,weekend,Medialuna
11,Bread,30-10-2016 10:27,morning,weekend,Pan
11,Medialuna,30-10-2016 10:27,morning,weekend,Medialuna
11,Bread,30-10-2016 10:27,morning,weekend,Pan
12,Jam,30-10-2016 10:30,morning,weekend,Mermelada
12,Coffee,30-10-2016 10:30,morning,weekend,Cafe
12,Tartine,30-10-2016 10:30,morning,weekend,Tostada tartine
12,Pastry,30-10-2016 10:30,morning,weekend,Pastelito
12,Tea,30-10-2016 10:30,morning,weekend,Te
13,Basket,30-10-2016 10:31,morning,weekend,Canasta
13,Bread,30-10-2016 10:31,morning,weekend,Pan
13,Coffee,30-10-2016 10:31,morning,weekend,Cafe
14,Bread,30-10-2016 10:32,morning,weekend,Pan
14,Medialuna,30-10-2016 10:32,morning,weekend,Medialuna
14,Pastry,30-10-2016 10:32,morning,weekend,Pastelito
15,Mineral water,30-10-2016 10:34,morning,weekend,Agua mineral
15,Scandinavian,30-10-2016 10:34,morning,weekend,Pan escandinavo
16,Bread,30-10-2016 10:37,morning,weekend,Pan
16,Medialuna,30-10-2016 10:37,morning,weekend,Medialuna
16,Coffee,30-10-2016 10:37,morning,weekend,Cafe
17,Hot chocolate,30-10-2016 10:38,morning,weekend,Chocolate caliente
18,Farm House,30-10-2016 10:41,morning,weekend,Pan de campo
19,Farm House,30-10-2016 10:43,morning,weekend,Pan de campo
19,Bread,30-10-2016 10:43,morning,weekend,Pan
20,Bread,30-10-2016 10:45,morning,weekend,Pan
20,Medialuna,30-10-2016 10:45,morning,weekend,Medialuna
21,Coffee,30-10-2016 10:49,morning,weekend,Cafe
21,Coffee,30-10-2016 10:49,morning,weekend,Cafe
21,Medialuna,30-10-2016 10:49,morning,weekend,Medialuna
21,Bread,30-10-2016 10:49,morning,weekend,Pan
22,Jam,30-10-2016 10:52,morning,weekend,Mermelada
23,Scandinavian,30-10-2016 10:53,morning,weekend,Pan escandinavo
23,Muffin,30-10-2016 10:53,morning,weekend,Muffin
24,Bread,30-10-2016 10:54,morning,weekend,Pan
25,Scandinavian,30-10-2016 10:55,morning,weekend,Pan escandinavo
26,Fudge,30-10-2016 10:56,morning,weekend,Fudge (dulce de azucar)
27,Scandinavian,30-10-2016 11:02,morning,weekend,Pan escandinavo
28,Coffee,30-10-2016 11:03,morning,weekend,Cafe
28,Bread,30-10-2016 11:03,morning,weekend,Pan
29,Bread,30-10-2016 11:05,morning,weekend,Pan
29,Jam,30-10-2016 11:05,morning,weekend,Mermelada
30,Bread,30-10-2016 11:07,morning,weekend,Pan
31,Basket,30-10-2016 11:12,morning,weekend,Canasta
32,Scandinavian,30-10-2016 11:16,morning,weekend,Pan escandinavo
32,Muffin,30-10-2016 11:16,morning,weekend,Muffin
33,Coffee,30-10-2016 11:22,morning,weekend,Cafe
34,Coffee,30-10-2016 11:25,morning,weekend,Cafe
34,Muffin,30-10-2016 11:25,morning,weekend,Muffin
35,Muffin,30-10-2016 11:27,morning,weekend,Muffin
35,Scandinavian,30-10-2016 11:27,morning,weekend,Pan escandinavo
36,Tea,30-10-2016 11:33,morning,weekend,Te
36,Bread,30-10-2016 11:33,morning,weekend,Pan
37,Coffee,30-10-2016 11:37,morning,weekend,Cafe
37,Bread,30-10-2016 11:37,morning,weekend,Pan
38,Bread,30-10-2016 11:42,morning,weekend,Pan
38,Tea,30-10-2016 11:42,morning,weekend,Te
39,Scandinavian,30-10-2016 11:44,morning,weekend,Pan escandinavo
40,Juice,30-10-2016 11:55,morning,weekend,Jugo
40,Tartine,30-10-2016 11:55,morning,weekend,Tostada tartine
40,Coffee,30-10-2016 11:55,morning,weekend,Cafe
40,Muffin,30-10-2016 11:55,morning,weekend,Muffin
41,Scandinavian,30-10-2016 11:57,morning,weekend,Pan escandinavo
42,Bread,30-10-2016 11:57,morning,weekend,Pan
42,Tea,30-10-2016 11:57,morning,weekend,Te
43,Scandinavian,30-10-2016 12:00,afternoon,weekend,Pan escandinavo
